SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
LOTUSDEV,EQ,185.3,185.92,183.5,183.93,184,185.3,390274,71938961.31,27-Oct-2025,5283,INE0V9Q01010
SSFL,SM,147.6,147.6,130,135.1,135.1,141,15500,2117700.00,27-Oct-2025,24,INE0ON201012
SRIVASAVI,SM,59,60,59,59,59,60,23000,1364350.00,27-Oct-2025,23,INE0NPI01014
SRM,EQ,539.95,545.5,536.4,542.1,540,538.35,47907,25901977.00,27-Oct-2025,2622,INE0R6Z01013
STALLION,BE,304.7,304.7,304.7,304.7,304.7,320.7,86032,26213950.40,27-Oct-2025,1688,INE0RYC01010
SGLTL,EQ,180.3,182.65,178.1,178.91,178.12,179.3,139352,25096295.08,27-Oct-2025,2223,INE0M4D01010
SIL,EQ,18.83,19.08,18.63,18.75,18.63,19.08,14100,265131.56,27-Oct-2025,308,INE173A01025
STANLEY,EQ,292.35,292.35,282.1,284.8,284.9,289.45,66934,19147915.80,27-Oct-2025,2929,INE01A001028
STARCEMENT,EQ,251.45,255,250.95,254.15,254.5,251,121089,30670033.60,27-Oct-2025,5961,INE460H01021
STARHEALTH,EQ,487.9,491.1,482,487.4,487.1,488.05,338831,164960237.60,27-Oct-2025,19944,INE575P01011
STARPAPER,EQ,163.97,169.58,163.97,165.6,165.68,165.72,9424,1573388.19,27-Oct-2025,338,INE733A01018
STARTECK,EQ,310.05,310.05,295,300,301.8,303.25,19316,5825389.05,27-Oct-2025,573,INE992I01013
SBIN,EQ,906.95,928,906,922.75,926.9,904.5,9150761,8401263077.15,27-Oct-2025,179901,INE062A01020
SBIN,T0,910,920,910,922.75,920,904.5,2,1830.00,27-Oct-2025,2,INE062A01020
SAIL,EQ,130.5,130.95,129.01,129.9,129.94,129.46,12660595,1644870949.11,27-Oct-2025,33915,INE114A01011
STEELCITY,EQ,99.5,100.78,98.34,99.28,98.34,99.25,6677,662290.34,27-Oct-2025,150,INE395H01011
STEELXIND,EQ,10.1,10.13,9.85,9.88,9.9,9.93,1479470,14709254.15,27-Oct-2025,2800,INE503B01021
SSWL,EQ,220.45,222.56,218,222.03,222,218.96,120096,26459149.52,27-Oct-2025,3402,INE802C01033
STEELCAS,EQ,224,229.95,220,222.09,221.1,223.17,220624,49941352.43,27-Oct-2025,14325,INE124E01038
STEL,EQ,407.1,420.9,406.95,416.5,411.5,407.3,4769,1977139.90,27-Oct-2025,454,INE577L01016
STERTOOLS,EQ,318.5,318.5,313.45,315.05,316.7,316.45,28792,9085030.65,27-Oct-2025,945,INE334A01023
STLTECH,EQ,120.99,122,118.01,119.65,119.65,120.09,1276720,153134279.70,27-Oct-2025,12553,INE089C01029
SGL,EQ,14.02,14.38,13.73,13.85,13.85,14.08,17806,247577.50,27-Oct-2025,119,INE353H01010
STLNETWORK,EQ,27.04,27.24,26.54,26.66,26.65,26.96,2049100,54849318.09,27-Oct-2025,7787,INE1VXE01018
STOVEKRAFT,EQ,710,722.45,706.55,711.75,714,704.05,64267,45763906.20,27-Oct-2025,3642,INE00IN01015
STAR,EQ,813,821.9,808.2,815.7,808.2,814.55,139222,113433648.40,27-Oct-2025,9595,INE939A01011
SWSOLAR,EQ,227.2,233,225.61,231.62,232.1,226.45,1545057,354997896.02,27-Oct-2025,21170,INE00M201021
STUDIOLSD,SM,19.05,19.45,18.9,18.95,19.05,19.3,58000,1108000.00,27-Oct-2025,29,INE17VO01028
STYLAMIND,EQ,1913,2084.3,1913,2045.6,2048,1905.2,427959,865157232.80,27-Oct-2025,35698,INE239C01020
STYRENIX,EQ,2520,2559.2,2479.1,2496.4,2498.8,2503.4,37089,92893221.00,27-Oct-2025,6197,INE189B01011
SUBAHOTELS,SM,176.55,179.85,164.95,169.85,170.6,176.85,378000,64815960.00,27-Oct-2025,298,INE0RYR01018
SUBEXLTD,EQ,13,13.35,13,13.11,13.06,13.13,1104096,14475227.14,27-Oct-2025,2304,INE754A01055
SUBROS,EQ,1090,1161,1089.3,1116.8,1114.9,1094.1,469680,533175230.20,27-Oct-2025,31638,INE287B01021
